"G_dryopteris_7981_A","G_dryopteris_7981_B","G_dryopteris_7981_C","G_dryopteris_7981_D","joint_prob","locus"
"7981_BLANK","7981_BLANK","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK","7981_BLANK",0,"APP"
"7981_copy1","7981_BLANK","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK","7981_BLANK",0,"APP"
"7981_copy1","7981_BLANK2","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK","7981_copy2","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_BLANK",0,"APP"
"7981_copy1","7981_copy2","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK","7981_BLANK2","7981_BLANK",0,"APP"
"7981_copy1","7981_BLANK","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_copy1","7981_BLANK2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_copy1","7981_copy2","7981_BLANK2","7981_BLANK",0.00124955373081042,"APP"
"7981_BLANK","7981_BLANK","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy2","7981_BLANK",0,"APP"
"7981_copy1","7981_BLANK","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK2","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy2","7981_BLANK",0,"APP"
"7981_copy1","7981_BLANK2","7981_copy2","7981_BLANK",0.429489468047126,"APP"
"7981_BLANK","7981_copy2","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy2","7981_copy2","7981_BLANK",0,"APP"
"7981_copy1","7981_copy2","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK","7981_BLANK","7981_BLANK2",0,"APP"
