Type	nIndiv	SimNum	TetraDist	HexaABDist	HexaACDist	HexaBCDist	TetraAMinDip	TetraBMinDip	HexaAMinDip	HexaBMinDip	HexaCMinDip	ESS	AvgTetraPP	AvgHexaPP	MinTetraPP	MinHexaPP	TetraCorrect	HexaCorrect
unlinked	1	1	60.08	33.49	100.00	100.00	9.83	29.56	3.43	2.49	20.11	371.0	1.00	1.00	1.00	1.00	True	True
unlinked	1	2	100.00	33.28	100.00	100.00	13.75	24.89	29.01	24.89	30.91	335.4	1.00	1.00	1.00	1.00	True	True
unlinked	1	3	54.29	54.29	54.29	50.67	24.07	44.49	41.43	40.16	44.49	361.4	1.00	1.00	1.00	1.00	True	True
unlinked	1	4	59.62	100.00	51.78	100.00	18.32	30.79	30.79	3.17	36.31	423.9	1.00	1.00	1.00	1.00	True	True
unlinked	1	5	25.76	50.08	22.94	50.08	22.70	7.18	18.90	4.64	12.79	537.7	1.00	1.00	1.00	1.00	True	True
unlinked	1	6	100.00	100.00	61.22	100.00	27.23	22.27	26.54	19.63	15.25	308.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	7	100.00	100.00	25.25	100.00	22.78	17.10	22.45	24.59	22.78	391.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	8	55.15	55.15	55.15	43.92	27.15	39.37	8.84	10.41	39.37	370.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	9	35.99	36.55	25.51	36.55	12.12	7.85	25.51	18.55	14.57	478.0	1.00	1.00	1.00	1.00	True	True
unlinked	1	10	100.00	100.00	35.31	100.00	5.37	6.13	14.37	6.13	2.76	328.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	11	27.67	60.50	39.06	60.50	2.31	16.05	1.91	60.50	22.39	501.9	1.00	1.00	1.00	1.00	True	True
unlinked	1	12	100.00	54.58	100.00	100.00	19.97	17.09	1.38	12.92	10.25	371.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	13	50.27	100.00	50.27	100.00	43.76	12.65	21.78	15.14	16.08	438.3	1.00	1.00	1.00	1.00	True	True
unlinked	1	14	63.25	16.59	64.19	64.19	27.83	23.48	25.65	25.65	0.78	393.4	1.00	0.52	1.00	0.51	True	False
unlinked	1	15	100.00	35.35	35.35	22.92	23.67	32.63	2.91	6.81	2.29	471.8	1.00	1.00	1.00	1.00	True	True
unlinked	1	16	36.99	36.99	57.49	57.49	33.06	15.92	33.06	31.02	30.51	473.1	1.00	1.00	1.00	1.00	True	True
unlinked	1	17	50.75	100.00	45.58	100.00	3.44	4.35	5.54	24.67	5.22	472.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	18	47.26	39.39	47.26	47.26	1.10	23.61	39.39	31.62	12.68	530.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	19	29.98	29.98	46.32	46.32	11.49	29.98	29.98	4.40	19.39	31.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	20	62.55	62.55	62.55	34.37	30.16	31.34	30.16	3.19	15.78	490.3	1.00	1.00	1.00	1.00	True	True
unlinked	1	21	100.00	39.06	100.00	100.00	26.32	11.26	39.06	2.00	28.86	365.4	1.00	1.00	1.00	1.00	True	True
unlinked	1	22	41.03	34.28	34.28	28.77	39.65	30.93	12.68	9.20	28.77	560.4	1.00	1.00	1.00	1.00	True	True
unlinked	1	23	100.00	41.24	41.24	36.20	24.65	25.44	17.18	36.20	24.78	461.7	1.00	1.00	1.00	1.00	True	True
unlinked	1	24	49.76	49.76	49.76	41.26	37.71	31.13	26.86	18.51	22.46	475.8	1.00	1.00	1.00	1.00	True	True
unlinked	1	25	44.08	50.59	100.00	100.00	44.08	16.90	16.34	50.59	8.35	386.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	26	100.00	100.00	100.00	31.82	27.85	33.00	42.33	7.54	27.69	417.3	1.00	1.00	1.00	1.00	True	True
unlinked	1	27	100.00	100.00	100.00	76.02	35.72	14.57	37.01	33.40	33.11	333.1	1.00	1.00	1.00	1.00	True	True
unlinked	1	28	16.46	40.94	39.53	40.94	19.21	19.21	39.53	2.41	14.15	486.0	0.90	1.00	0.89	1.00	False	True
unlinked	1	29	29.89	100.00	34.08	100.00	9.33	14.61	26.62	25.30	30.81	403.1	1.00	0.98	1.00	0.91	True	False
unlinked	1	30	38.10	37.32	25.19	37.32	19.76	5.85	31.03	13.35	31.03	494.1	1.00	0.67	1.00	0.63	True	False
unlinked	1	31	30.15	100.00	100.00	30.15	22.38	30.15	2.63	30.15	26.67	446.0	1.00	1.00	1.00	1.00	True	True
unlinked	1	32	100.00	100.00	18.30	100.00	32.23	28.84	21.39	20.61	21.39	298.2	1.00	0.51	1.00	0.50	True	False
unlinked	1	33	52.00	100.00	52.00	100.00	31.79	9.66	7.77	100.00	8.47	451.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	34	100.00	55.28	100.00	100.00	38.96	25.87	15.93	48.36	29.03	256.9	1.00	1.00	1.00	1.00	True	True
unlinked	1	35	46.64	52.75	52.75	31.80	10.65	5.67	19.74	18.13	3.95	391.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	36	100.00	35.11	57.74	57.74	6.82	100.00	19.12	35.11	26.08	257.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	37	100.00	63.15	100.00	100.00	39.98	56.19	23.17	31.74	27.58	391.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	38	100.00	100.00	44.75	100.00	30.53	9.69	19.04	55.71	20.63	327.3	1.00	1.00	1.00	1.00	True	True
unlinked	1	39	100.00	100.00	100.00	26.97	35.87	28.75	35.87	18.81	24.01	449.8	1.00	1.00	1.00	1.00	True	True
unlinked	1	40	100.00	39.40	46.09	46.09	39.72	11.30	19.45	8.68	15.57	32.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	41	100.00	27.18	36.21	36.21	13.62	8.15	27.18	15.06	14.83	420.7	1.00	1.00	1.00	1.00	True	True
unlinked	1	42	100.00	52.02	100.00	100.00	19.31	14.19	19.31	52.02	19.85	249.4	1.00	1.00	1.00	1.00	True	True
unlinked	1	43	100.00	100.00	36.72	100.00	32.12	40.34	11.90	25.57	2.63	425.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	44	100.00	35.49	32.24	35.49	8.37	14.29	21.50	2.85	15.92	502.7	1.00	1.00	1.00	1.00	True	True
unlinked	1	45	100.00	54.78	54.78	27.13	14.62	25.77	27.49	15.02	4.16	399.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	46	50.11	50.11	88.53	88.53	22.80	24.00	22.80	5.07	3.73	451.7	1.00	1.00	1.00	1.00	True	True
unlinked	1	47	42.84	100.00	100.00	60.94	19.63	42.84	100.00	20.55	8.37	419.4	1.00	1.00	1.00	1.00	True	True
unlinked	1	48	42.71	42.71	42.52	42.71	11.95	9.41	9.98	18.57	11.11	318.8	1.00	1.00	1.00	1.00	True	True
unlinked	1	49	59.04	100.00	100.00	50.36	9.88	10.84	11.20	50.36	49.01	436.7	1.00	0.76	1.00	0.51	True	True
unlinked	1	50	100.00	100.00	55.84	100.00	15.10	36.34	36.34	4.43	4.47	438.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	51	35.57	100.00	100.00	35.57	11.24	4.10	40.37	6.31	17.18	391.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	52	100.00	100.00	51.38	100.00	32.55	21.93	40.82	20.77	2.39	482.9	1.00	1.00	1.00	1.00	True	True
unlinked	1	53	58.10	42.55	42.55	28.93	15.16	30.68	9.89	30.68	30.68	292.8	1.00	1.00	1.00	1.00	True	True
unlinked	1	54	28.87	98.75	13.00	98.75	0.25	15.03	13.00	23.03	12.59	299.7	1.00	0.54	1.00	0.52	True	False
unlinked	1	55	100.00	18.25	100.00	100.00	19.92	20.75	28.92	28.92	27.71	452.8	1.00	0.51	1.00	0.50	True	False
unlinked	1	56	100.00	59.20	44.69	59.20	27.98	44.83	7.35	19.04	19.90	463.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	57	36.58	29.71	100.00	100.00	7.89	16.47	29.71	20.22	27.37	373.7	1.00	1.00	1.00	1.00	True	True
unlinked	1	58	40.27	100.00	40.27	100.00	29.07	29.20	16.45	14.60	10.27	471.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	59	100.00	28.11	35.90	35.90	46.69	6.60	30.25	30.25	15.35	395.5	1.00	0.51	1.00	0.50	True	False
unlinked	1	60	100.00	41.91	100.00	100.00	26.47	20.45	1.02	26.47	39.34	403.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	61	100.00	48.57	100.00	100.00	29.43	47.62	19.21	9.75	3.50	453.1	1.00	1.00	1.00	1.00	True	True
unlinked	1	62	100.00	100.00	48.82	100.00	2.46	5.25	18.55	7.63	11.69	478.9	1.00	1.00	1.00	1.00	True	True
unlinked	1	63	36.95	100.00	100.00	1.68	15.49	2.16	38.32	7.58	7.58	380.5	1.00	0.51	1.00	0.51	True	True
unlinked	1	64	43.14	43.14	43.14	39.88	39.88	27.85	22.17	39.88	19.56	442.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	65	64.71	100.00	22.18	100.00	13.60	49.06	14.11	7.59	2.82	446.8	1.00	1.00	1.00	1.00	True	True
unlinked	1	66	36.16	17.76	30.65	30.65	21.64	3.89	7.61	6.20	30.65	307.9	1.00	1.00	1.00	1.00	True	True
unlinked	1	67	55.10	55.10	32.34	55.10	4.99	25.77	32.34	25.77	17.82	386.1	1.00	1.00	1.00	1.00	True	True
unlinked	1	68	19.57	100.00	100.00	11.31	59.24	59.24	14.13	23.20	23.20	390.2	0.52	0.51	0.51	0.51	False	False
unlinked	1	69	29.39	51.45	38.92	51.45	29.39	4.88	18.27	43.50	14.48	449.3	1.00	1.00	1.00	1.00	True	True
unlinked	1	70	30.42	100.00	100.00	38.01	12.71	20.36	3.79	19.99	2.90	311.4	1.00	1.00	1.00	1.00	True	True
unlinked	1	71	100.00	100.00	34.85	100.00	38.83	13.39	17.47	23.01	7.62	245.0	1.00	1.00	1.00	1.00	True	True
unlinked	1	72	34.66	33.43	40.22	40.22	33.43	2.04	30.78	33.43	16.05	324.8	1.00	1.00	1.00	1.00	True	True
unlinked	1	73	100.00	100.00	9.55	100.00	33.32	27.62	33.20	27.62	33.20	459.1	1.00	0.52	1.00	0.50	True	True
unlinked	1	74	29.11	51.30	60.45	60.45	10.29	27.82	7.91	51.30	17.27	389.1	1.00	1.00	1.00	1.00	True	True
unlinked	1	75	42.54	30.64	30.64	17.61	30.64	42.54	30.64	24.72	24.72	429.0	1.00	0.52	1.00	0.51	True	False
unlinked	1	76	86.72	22.15	67.52	67.52	30.86	9.11	2.37	22.15	20.94	289.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	77	77.60	21.14	21.14	14.14	49.52	27.12	18.58	9.36	7.42	440.0	1.00	1.00	1.00	1.00	True	True
unlinked	1	78	41.90	37.44	43.19	43.19	30.54	24.34	31.48	25.69	31.12	500.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	79	62.30	100.00	100.00	66.71	39.30	3.70	33.57	66.71	3.70	450.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	80	15.44	100.00	54.70	100.00	12.80	15.44	10.62	13.34	54.70	409.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	81	100.00	41.24	100.00	100.00	13.46	17.30	26.26	18.47	2.27	380.6	1.00	1.00	1.00	1.00	True	True
unlinked	1	82	61.01	100.00	52.87	100.00	6.11	52.87	4.56	17.02	52.87	461.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	83	100.00	50.41	100.00	100.00	0.40	13.12	28.85	50.41	8.44	398.1	1.00	1.00	1.00	1.00	True	True
unlinked	1	84	100.00	5.95	3.97	5.95	10.89	8.33	5.95	5.24	5.95	312.7	1.00	0.51	1.00	0.51	True	False
unlinked	1	85	100.00	40.93	100.00	100.00	7.97	26.14	26.14	4.16	28.78	456.8	1.00	1.00	1.00	1.00	True	True
unlinked	1	86	70.62	100.00	100.00	29.80	16.98	27.94	17.95	21.73	8.33	459.4	1.00	1.00	1.00	1.00	True	True
unlinked	1	87	100.00	35.25	35.25	29.88	19.19	11.19	18.63	29.88	11.19	475.7	1.00	1.00	1.00	1.00	True	True
unlinked	1	88	100.00	100.00	59.82	100.00	14.54	13.71	27.22	29.68	59.82	354.4	1.00	1.00	1.00	1.00	True	True
unlinked	1	89	100.00	44.14	100.00	100.00	18.51	21.75	7.69	38.36	48.05	381.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	90	38.46	100.00	100.00	38.46	24.26	37.17	10.51	11.40	23.89	509.1	1.00	1.00	1.00	1.00	True	True
unlinked	1	91	100.00	70.55	100.00	100.00	27.50	32.53	7.63	34.39	26.17	413.2	1.00	1.00	1.00	1.00	True	True
unlinked	1	92	65.21	33.10	33.10	29.66	20.42	22.76	33.10	29.66	22.94	520.5	1.00	1.00	1.00	1.00	True	False
unlinked	1	93	100.00	11.57	21.73	21.73	13.04	7.93	11.54	7.88	21.73	472.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	94	100.00	37.04	100.00	100.00	32.56	30.19	37.04	14.69	17.39	466.8	1.00	1.00	1.00	1.00	True	True
unlinked	1	95	55.65	64.73	45.36	64.73	64.73	64.73	45.36	64.73	29.53	333.2	0.99	1.00	0.94	1.00	False	True
unlinked	1	96	34.68	100.00	27.22	100.00	2.48	34.68	27.22	4.87	16.79	484.9	1.00	1.00	1.00	1.00	True	True
unlinked	1	97	27.59	8.30	21.55	21.55	16.13	17.53	12.15	12.15	10.67	352.6	1.00	0.51	1.00	0.50	True	False
unlinked	1	98	71.71	40.63	71.71	71.71	28.18	0.04	19.75	16.97	28.18	375.7	1.00	1.00	1.00	1.00	True	True
unlinked	1	99	57.93	69.06	69.06	43.51	2.83	7.29	69.06	33.88	15.94	489.5	1.00	1.00	1.00	1.00	True	True
unlinked	1	100	55.13	33.87	36.72	36.72	29.09	0.46	26.46	11.63	28.58	407.1	1.00	1.00	1.00	1.00	True	True
unlinked	2	1	60.08	33.49	100.00	100.00	9.83	29.56	3.43	2.49	20.11	463.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	2	100.00	33.28	100.00	100.00	13.75	24.89	29.01	24.89	30.91	448.8	1.00	1.00	1.00	1.00	True	True
unlinked	2	3	54.29	54.29	54.29	50.67	24.07	44.49	41.43	40.16	44.49	474.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	4	59.62	100.00	51.78	100.00	18.32	30.79	30.79	3.17	36.31	362.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	5	25.76	50.08	22.94	50.08	22.70	7.18	18.90	4.64	12.79	468.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	6	100.00	100.00	61.22	100.00	27.23	22.27	26.54	19.63	15.25	431.7	1.00	1.00	1.00	1.00	True	True
unlinked	2	7	100.00	100.00	25.25	100.00	22.78	17.10	22.45	24.59	22.78	495.0	1.00	1.00	1.00	1.00	True	True
unlinked	2	8	55.15	55.15	55.15	43.92	27.15	39.37	8.84	10.41	39.37	420.1	1.00	1.00	1.00	1.00	True	True
unlinked	2	9	35.99	36.55	25.51	36.55	12.12	7.85	25.51	18.55	14.57	331.7	1.00	1.00	1.00	1.00	True	True
unlinked	2	10	100.00	100.00	35.31	100.00	5.37	6.13	14.37	6.13	2.76	367.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	11	27.67	60.50	39.06	60.50	2.31	16.05	1.91	60.50	22.39	395.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	12	100.00	54.58	100.00	100.00	19.97	17.09	1.38	12.92	10.25	538.2	1.00	1.00	1.00	1.00	True	True
unlinked	2	13	50.27	100.00	50.27	100.00	43.76	12.65	21.78	15.14	16.08	282.5	1.00	1.00	1.00	1.00	True	True
unlinked	2	14	63.25	16.59	64.19	64.19	27.83	23.48	25.65	25.65	0.78	494.1	1.00	0.51	1.00	0.50	True	False
unlinked	2	15	100.00	35.35	35.35	22.92	23.67	32.63	2.91	6.81	2.29	481.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	16	36.99	36.99	57.49	57.49	33.06	15.92	33.06	31.02	30.51	411.2	1.00	1.00	1.00	1.00	True	True
unlinked	2	17	50.75	100.00	45.58	100.00	3.44	4.35	5.54	24.67	5.22	585.4	1.00	1.00	1.00	1.00	True	True
unlinked	2	18	47.26	39.39	47.26	47.26	1.10	23.61	39.39	31.62	12.68	339.3	1.00	1.00	1.00	1.00	True	True
unlinked	2	19	29.98	29.98	46.32	46.32	11.49	29.98	29.98	4.40	19.39	409.8	1.00	1.00	1.00	1.00	True	True
unlinked	2	20	62.55	62.55	62.55	34.37	30.16	31.34	30.16	3.19	15.78	404.0	1.00	1.00	1.00	1.00	True	True
unlinked	2	21	100.00	39.06	100.00	100.00	26.32	11.26	39.06	2.00	28.86	404.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	22	41.03	34.28	34.28	28.77	39.65	30.93	12.68	9.20	28.77	297.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	23	100.00	41.24	41.24	36.20	24.65	25.44	17.18	36.20	24.78	362.3	1.00	1.00	1.00	1.00	True	True
unlinked	2	24	49.76	49.76	49.76	41.26	37.71	31.13	26.86	18.51	22.46	372.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	25	44.08	50.59	100.00	100.00	44.08	16.90	16.34	50.59	8.35	396.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	26	100.00	100.00	100.00	31.82	27.85	33.00	42.33	7.54	27.69	341.2	1.00	1.00	1.00	1.00	True	True
unlinked	2	27	100.00	100.00	100.00	76.02	35.72	14.57	37.01	33.40	33.11	324.2	1.00	1.00	1.00	1.00	True	True
unlinked	2	28	16.46	40.94	39.53	40.94	19.21	19.21	39.53	2.41	14.15	490.2	0.55	1.00	0.55	1.00	False	True
unlinked	2	29	29.89	100.00	34.08	100.00	9.33	14.61	26.62	25.30	30.81	426.7	1.00	1.00	1.00	1.00	True	True
unlinked	2	30	38.10	37.32	25.19	37.32	19.76	5.85	31.03	13.35	31.03	558.8	1.00	0.51	1.00	0.51	True	False
unlinked	2	31	30.15	100.00	100.00	30.15	22.38	30.15	2.63	30.15	26.67	377.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	32	100.00	100.00	18.30	100.00	32.23	28.84	21.39	20.61	21.39	380.1	1.00	0.61	1.00	0.57	True	False
unlinked	2	33	52.00	100.00	52.00	100.00	31.79	9.66	7.77	100.00	8.47	400.2	1.00	1.00	1.00	1.00	True	True
unlinked	2	34	100.00	55.28	100.00	100.00	38.96	25.87	15.93	48.36	29.03	442.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	35	46.64	52.75	52.75	31.80	10.65	5.67	19.74	18.13	3.95	509.3	1.00	1.00	1.00	1.00	True	True
unlinked	2	36	100.00	35.11	57.74	57.74	6.82	100.00	19.12	35.11	26.08	455.4	1.00	1.00	1.00	1.00	True	True
unlinked	2	37	100.00	63.15	100.00	100.00	39.98	56.19	23.17	31.74	27.58	189.0	1.00	1.00	1.00	1.00	True	True
unlinked	2	38	100.00	100.00	44.75	100.00	30.53	9.69	19.04	55.71	20.63	432.5	1.00	1.00	1.00	1.00	True	True
unlinked	2	39	100.00	100.00	100.00	26.97	35.87	28.75	35.87	18.81	24.01	390.2	1.00	1.00	1.00	1.00	True	True
unlinked	2	40	100.00	39.40	46.09	46.09	39.72	11.30	19.45	8.68	15.57	461.3	1.00	1.00	1.00	1.00	True	True
unlinked	2	41	100.00	27.18	36.21	36.21	13.62	8.15	27.18	15.06	14.83	480.0	1.00	1.00	1.00	1.00	True	True
unlinked	2	42	100.00	52.02	100.00	100.00	19.31	14.19	19.31	52.02	19.85	462.5	1.00	1.00	1.00	1.00	True	True
unlinked	2	43	100.00	100.00	36.72	100.00	32.12	40.34	11.90	25.57	2.63	266.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	44	100.00	35.49	32.24	35.49	8.37	14.29	21.50	2.85	15.92	404.8	1.00	1.00	1.00	1.00	True	True
unlinked	2	45	100.00	54.78	54.78	27.13	14.62	25.77	27.49	15.02	4.16	536.5	1.00	1.00	1.00	1.00	True	True
unlinked	2	46	50.11	50.11	88.53	88.53	22.80	24.00	22.80	5.07	3.73	545.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	47	42.84	100.00	100.00	60.94	19.63	42.84	100.00	20.55	8.37	283.4	1.00	1.00	1.00	1.00	True	True
unlinked	2	48	42.71	42.71	42.52	42.71	11.95	9.41	9.98	18.57	11.11	310.3	1.00	1.00	1.00	1.00	True	True
unlinked	2	49	59.04	100.00	100.00	50.36	9.88	10.84	11.20	50.36	49.01	437.5	1.00	0.91	1.00	0.76	True	False
unlinked	2	50	100.00	100.00	55.84	100.00	15.10	36.34	36.34	4.43	4.47	436.4	1.00	1.00	1.00	1.00	True	True
unlinked	2	51	35.57	100.00	100.00	35.57	11.24	4.10	40.37	6.31	17.18	452.1	1.00	1.00	1.00	1.00	True	True
unlinked	2	52	100.00	100.00	51.38	100.00	32.55	21.93	40.82	20.77	2.39	369.8	1.00	1.00	1.00	1.00	True	True
unlinked	2	53	58.10	42.55	42.55	28.93	15.16	30.68	9.89	30.68	30.68	419.5	1.00	1.00	1.00	1.00	True	True
unlinked	2	54	28.87	98.75	13.00	98.75	0.25	15.03	13.00	23.03	12.59	335.1	1.00	0.51	1.00	0.50	True	False
unlinked	2	55	100.00	18.25	100.00	100.00	19.92	20.75	28.92	28.92	27.71	418.0	1.00	0.52	1.00	0.51	True	False
unlinked	2	56	100.00	59.20	44.69	59.20	27.98	44.83	7.35	19.04	19.90	376.2	1.00	1.00	1.00	1.00	True	True
unlinked	2	57	36.58	29.71	100.00	100.00	7.89	16.47	29.71	20.22	27.37	435.8	1.00	1.00	1.00	1.00	True	True
unlinked	2	58	40.27	100.00	40.27	100.00	29.07	29.20	16.45	14.60	10.27	416.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	59	100.00	28.11	35.90	35.90	46.69	6.60	30.25	30.25	15.35	460.7	1.00	1.00	1.00	1.00	True	False
unlinked	2	60	100.00	41.91	100.00	100.00	26.47	20.45	1.02	26.47	39.34	417.8	1.00	1.00	1.00	1.00	True	True
unlinked	2	61	100.00	48.57	100.00	100.00	29.43	47.62	19.21	9.75	3.50	323.5	1.00	1.00	1.00	1.00	True	True
unlinked	2	62	100.00	100.00	48.82	100.00	2.46	5.25	18.55	7.63	11.69	413.7	1.00	1.00	1.00	1.00	True	True
unlinked	2	63	36.95	100.00	100.00	1.68	15.49	2.16	38.32	7.58	7.58	352.3	1.00	0.93	1.00	0.74	True	False
unlinked	2	64	43.14	43.14	43.14	39.88	39.88	27.85	22.17	39.88	19.56	436.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	65	64.71	100.00	22.18	100.00	13.60	49.06	14.11	7.59	2.82	302.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	66	36.16	17.76	30.65	30.65	21.64	3.89	7.61	6.20	30.65	320.1	1.00	1.00	1.00	1.00	True	True
unlinked	2	67	55.10	55.10	32.34	55.10	4.99	25.77	32.34	25.77	17.82	451.7	1.00	1.00	1.00	1.00	True	True
unlinked	2	68	19.57	100.00	100.00	11.31	59.24	59.24	14.13	23.20	23.20	353.7	0.51	0.54	0.51	0.51	False	False
unlinked	2	69	29.39	51.45	38.92	51.45	29.39	4.88	18.27	43.50	14.48	521.4	1.00	1.00	1.00	1.00	True	True
unlinked	2	70	30.42	100.00	100.00	38.01	12.71	20.36	3.79	19.99	2.90	458.0	1.00	1.00	1.00	1.00	True	True
unlinked	2	71	100.00	100.00	34.85	100.00	38.83	13.39	17.47	23.01	7.62	365.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	72	34.66	33.43	40.22	40.22	33.43	2.04	30.78	33.43	16.05	347.4	1.00	1.00	1.00	1.00	True	True
unlinked	2	73	100.00	100.00	9.55	100.00	33.32	27.62	33.20	27.62	33.20	316.0	1.00	0.55	1.00	0.50	True	False
unlinked	2	74	29.11	51.30	60.45	60.45	10.29	27.82	7.91	51.30	17.27	422.2	1.00	1.00	1.00	1.00	True	True
unlinked	2	75	42.54	30.64	30.64	17.61	30.64	42.54	30.64	24.72	24.72	400.6	1.00	0.53	1.00	0.51	True	False
unlinked	2	76	86.72	22.15	67.52	67.52	30.86	9.11	2.37	22.15	20.94	412.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	77	77.60	21.14	21.14	14.14	49.52	27.12	18.58	9.36	7.42	455.3	1.00	0.98	1.00	0.92	True	False
unlinked	2	78	41.90	37.44	43.19	43.19	30.54	24.34	31.48	25.69	31.12	431.7	1.00	1.00	1.00	1.00	True	True
unlinked	2	79	62.30	100.00	100.00	66.71	39.30	3.70	33.57	66.71	3.70	321.0	1.00	1.00	1.00	1.00	True	True
unlinked	2	80	15.44	100.00	54.70	100.00	12.80	15.44	10.62	13.34	54.70	393.9	0.99	1.00	0.98	1.00	False	True
unlinked	2	81	100.00	41.24	100.00	100.00	13.46	17.30	26.26	18.47	2.27	324.5	1.00	1.00	1.00	1.00	True	True
unlinked	2	82	61.01	100.00	52.87	100.00	6.11	52.87	4.56	17.02	52.87	536.3	1.00	1.00	1.00	1.00	True	True
unlinked	2	83	100.00	50.41	100.00	100.00	0.40	13.12	28.85	50.41	8.44	332.8	1.00	1.00	1.00	1.00	True	True
unlinked	2	84	100.00	5.95	3.97	5.95	10.89	8.33	5.95	5.24	5.95	348.8	1.00	0.51	1.00	0.51	True	False
unlinked	2	85	100.00	40.93	100.00	100.00	7.97	26.14	26.14	4.16	28.78	361.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	86	70.62	100.00	100.00	29.80	16.98	27.94	17.95	21.73	8.33	376.1	1.00	1.00	1.00	1.00	True	True
unlinked	2	87	100.00	35.25	35.25	29.88	19.19	11.19	18.63	29.88	11.19	438.0	1.00	1.00	1.00	1.00	True	True
unlinked	2	88	100.00	100.00	59.82	100.00	14.54	13.71	27.22	29.68	59.82	406.1	1.00	1.00	1.00	1.00	True	True
unlinked	2	89	100.00	44.14	100.00	100.00	18.51	21.75	7.69	38.36	48.05	339.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	90	38.46	100.00	100.00	38.46	24.26	37.17	10.51	11.40	23.89	440.2	1.00	1.00	1.00	1.00	True	True
unlinked	2	91	100.00	70.55	100.00	100.00	27.50	32.53	7.63	34.39	26.17	237.0	1.00	1.00	1.00	1.00	True	True
unlinked	2	92	65.21	33.10	33.10	29.66	20.42	22.76	33.10	29.66	22.94	464.6	1.00	0.97	1.00	0.87	True	True
unlinked	2	93	100.00	11.57	21.73	21.73	13.04	7.93	11.54	7.88	21.73	505.4	1.00	0.54	1.00	0.50	True	False
unlinked	2	94	100.00	37.04	100.00	100.00	32.56	30.19	37.04	14.69	17.39	455.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	95	55.65	64.73	45.36	64.73	64.73	64.73	45.36	64.73	29.53	314.6	1.00	1.00	1.00	1.00	True	True
unlinked	2	96	34.68	100.00	27.22	100.00	2.48	34.68	27.22	4.87	16.79	288.8	1.00	1.00	1.00	1.00	True	True
unlinked	2	97	27.59	8.30	21.55	21.55	16.13	17.53	12.15	12.15	10.67	595.4	1.00	0.53	1.00	0.52	True	False
unlinked	2	98	71.71	40.63	71.71	71.71	28.18	0.04	19.75	16.97	28.18	509.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	99	57.93	69.06	69.06	43.51	2.83	7.29	69.06	33.88	15.94	496.9	1.00	1.00	1.00	1.00	True	True
unlinked	2	100	55.13	33.87	36.72	36.72	29.09	0.46	26.46	11.63	28.58	512.6	1.00	0.88	1.00	0.54	True	True
